Måned,Total,Spart,Avkastning kr,Avkastning %,Snitt sparing,,Månedlig endring ,Månedlig sparing,Måndelig avkastning,,Årlig økning,Årlig sparing,Årlig avkastning
desember 2021,1 236 099 kr,798 137 kr,437 962 kr,"54,87%",10 933 kr,,37 587 kr,15 000 kr,22 587 kr,,336 602 kr,125 000 kr,211 602 kr
januar 2022,1 208 902 kr,808 137 kr,400 765 kr,"49,59%",10 921 kr,,−27 197 kr,10 000 kr,−37 197 kr,,,,
februar 2022,1 165 818 kr,808 137 kr,357 681 kr,"44,26%",10 775 kr,,−43 084 kr,0 kr,−43 084 kr,,,,
mars 2022,1 212 917 kr,838 137 kr,374 780 kr,"44,72%",11 028 kr,,47 099 kr,30 000 kr,17 099 kr,,,,
april 2022,1 184 510 kr,838 137 kr,346 373 kr,"41,33%",10 885 kr,,−28 407 kr,0 kr,−28 407 kr,,,,
mai 2022,1 214 682 kr,838 137 kr,376 545 kr,"44,93%",10 745 kr,,30 172 kr,0 kr,30 172 kr,,,,
juni 2022,1 159 008 kr,838 137 kr,320 871 kr,"38,28%",10 609 kr,,−55 674 kr,0 kr,−55 674 kr,,,,
juli 2022,,,,,,,,,,,,,
august 2022,,,,,,,,,,,,,
september 2022,,,,,,,,,,,,,
oktober 2022,,,,,,,,,,,,,
november 2022,,,,,,,,,,,,,
desember 2022,,,,,,,,,,,,,
januar 2023,,,,,,,,,,,,,
februar 2023,,,,,,,,,,,,,
mars 2023,,,,,,,,,,,,,
april 2023,,,,,,,,,,,,,
mai 2023,,,,,,,,,,,,,
juni 2023,,,,,,,,,,,,,
juli 2023,,,,,,,,,,,,,
august 2023,,,,,,,,,,,,,
september 2023,,,,,,,,,,,,,
oktober 2023,,,,,,,,,,,,,
november 2023,,,,,,,,,,,,,
desember 2023,,,,,,,,,,,,,
januar 2024,,,,,,,,,,,,,
februar 2024,,,,,,,,,,,,,
mars 2024,,,,,,,,,,,,,
april 2024,,,,,,,,,,,,,
mai 2024,,,,,,,,,,,,,
juni 2024,,,,,,,,,,,,,
juli 2024,,,,,,,,,,,,,
august 2024,,,,,,,,,,,,,
september 2024,,,,,,,,,,,,,
oktober 2024,,,,,,,,,,,,,
november 2024,,,,,,,,,,,,,
desember 2024,,,,,,,,,,,,,
januar 2025,,,,,,,,,,,,,
februar 2025,,,,,,,,,,,,,
mars 2025,,,,,,,,,,,,,
april 2025,,,,,,,,,,,,,
mai 2025,,,,,,,,,,,,,
juni 2025,,,,,,,,,,,,,
juli 2025,,,,,,,,,,,,,
august 2025,,,,,,,,,,,,,
september 2025,,,,,,,,,,,,,
oktober 2025,,,,,,,,,,,,,
november 2025,,,,,,,,,,,,,
desember 2025,,,,,,,,,,,,,
januar 2026,,,,,,,,,,,,,
februar 2026,,,,,,,,,,,,,
mars 2026,,,,,,,,,,,,,
april 2026,,,,,,,,,,,,,
mai 2026,,,,,,,,,,,,,
juni 2026,,,,,,,,,,,,,
juli 2026,,,,,,,,,,,,,
august 2026,,,,,,,,,,,,,
september 2026,,,,,,,,,,,,,
oktober 2026,,,,,,,,,,,,,
november 2026,,,,,,,,,,,,,
desember 2026,,,,,,,,,,,,,
januar 2027,,,,,,,,,,,,,
februar 2027,,,,,,,,,,,,,
mars 2027,,,,,,,,,,,,,
april 2027,,,,,,,,,,,,,
mai 2027,,,,,,,,,,,,,
juni 2027,,,,,,,,,,,,,
juli 2027,,,,,,,,,,,,,
august 2027,,,,,,,,,,,,,
september 2027,,,,,,,,,,,,,
oktober 2027,,,,,,,,,,,,,
november 2027,,,,,,,,,,,,,
desember 2027,,,,,,,,,,,,,
januar 2028,,,,,,,,,,,,,
februar 2028,,,,,,,,,,,,,
mars 2028,,,,,,,,,,,,,
april 2028,,,,,,,,,,,,,
mai 2028,,,,,,,,,,,,,
juni 2028,,,,,,,,,,,,,
juli 2028,,,,,,,,,,,,,
august 2028,,,,,,,,,,,,,
september 2028,,,,,,,,,,,,,
oktober 2028,,,,,,,,,,,,,
november 2028,,,,,,,,,,,,,
desember 2028,,,,,,,,,,,,,
januar 2029,,,,,,,,,,,,,
februar 2029,,,,,,,,,,,,,
mars 2029,,,,,,,,,,,,,
april 2029,,,,,,,,,,,,,
mai 2029,,,,,,,,,,,,,
juni 2029,,,,,,,,,,,,,
juli 2029,,,,,,,,,,,,,
august 2029,,,,,,,,,,,,,
september 2029,,,,,,,,,,,,,
oktober 2029,,,,,,,,,,,,,
november 2029,,,,,,,,,,,,,
desember 2029,,,,,,,,,,,,,
januar 2030,,,,,,,,,,,,,
februar 2030,,,,,,,,,,,,,
mars 2030,,,,,,,,,,,,,
april 2030,,,,,,,,,,,,,
mai 2030,,,,,,,,,,,,,
juni 2030,,,,,,,,,,,,,
juli 2030,,,,,,,,,,,,,
august 2030,,,,,,,,,,,,,
september 2030,,,,,,,,,,,,,
oktober 2030,,,,,,,,,,,,,
november 2030,,,,,,,,,,,,,
desember 2030,,,,,,,,,,,,,
januar 2031,,,,,,,,,,,,,
februar 2031,,,,,,,,,,,,,
mars 2031,,,,,,,,,,,,,
april 2031,,,,,,,,,,,,,
mai 2031,,,,,,,,,,,,,
juni 2031,,,,,,,,,,,,,
juli 2031,,,,,,,,,,,,,
august 2031,,,,,,,,,,,,,
september 2031,,,,,,,,,,,,,
oktober 2031,,,,,,,,,,,,,
november 2031,,,,,,,,,,,,,
desember 2031,,,,,,,,,,,,,
januar 2032,,,,,,,,,,,,,
februar 2032,,,,,,,,,,,,,
mars 2032,,,,,,,,,,,,,
april 2032,,,,,,,,,,,,,
mai 2032,,,,,,,,,,,,,
juni 2032,,,,,,,,,,,,,
juli 2032,,,,,,,,,,,,,
august 2032,,,,,,,,,,,,,
september 2032,,,,,,,,,,,,,
oktober 2032,,,,,,,,,,,,,
november 2032,,,,,,,,,,,,,
desember 2032,,,,,,,,,,,,,
januar 2033,,,,,,,,,,,,,
februar 2033,,,,,,,,,,,,,
mars 2033,,,,,,,,,,,,,
april 2033,,,,,,,,,,,,,
mai 2033,,,,,,,,,,,,,
juni 2033,,,,,,,,,,,,,
juli 2033,,,,,,,,,,,,,
august 2033,,,,,,,,,,,,,
september 2033,,,,,,,,,,,,,
oktober 2033,,,,,,,,,,,,,
november 2033,,,,,,,,,,,,,
desember 2033,,,,,,,,,,,,,
januar 2034,,,,,,,,,,,,,
februar 2034,,,,,,,,,,,,,
mars 2034,,,,,,,,,,,,,
april 2034,,,,,,,,,,,,,
mai 2034,,,,,,,,,,,,,
juni 2034,,,,,,,,,,,,,
juli 2034,,,,,,,,,,,,,
august 2034,,,,,,,,,,,,,
september 2034,,,,,,,,,,,,,
oktober 2034,,,,,,,,,,,,,
november 2034,,,,,,,,,,,,,
desember 2034,,,,,,,,,,,,,
